Bingo Plate Number,First 5 Numbers,,,,,Last 5 Numbers,,,,
0,25,11,29,15,6,14,12,8,13,20
1,10,13,15,17,3,21,11,28,5,16
2,23,15,14,9,0,2,26,17,10,22
3,27,16,2,23,22,4,18,28,0,15
4,8,24,10,17,15,1,16,2,23,6
5,27,24,19,29,28,13,12,0,26,25
6,13,17,7,5,26,9,14,16,27,25
7,16,9,20,3,10,0,27,1,5,28
8,8,13,25,7,17,2,26,21,29,12
9,1,9,4,11,10,2,21,3,22,27
10,19,9,18,20,8,10,6,3,22,7
11,6,3,23,14,12,9,28,13,16,2
12,3,8,13,7,9,4,12,19,21,20
13,26,8,2,5,19,25,16,7,23,14
14,26,10,9,28,16,22,21,23,29,19
15,20,21,14,1,16,29,25,12,6,13
16,21,17,10,12,11,18,13,3,6,19
17,5,4,27,8,1,10,9,0,26,16
18,12,25,28,21,8,15,17,10,0,9
19,26,16,12,13,19,23,24,15,9,22
20,25,10,22,3,17,12,27,7,8,19
21,2,11,12,5,14,1,10,26,15,7
22,8,28,9,13,27,29,17,11,15,6
23,2,22,17,9,25,14,1,4,21,24
24,20,15,26,22,1,10,29,8,13,9
25,11,5,25,28,22,24,10,1,15,3
26,16,1,13,9,14,24,4,21,27,0
27,12,16,22,2,11,8,20,6,9,27
